FISCAL_YEAR,CATEGORY,AGENCY,APPROPRIATED_FUND,COMPTROLLER_OBJECT,AMOUNT
2024,Operating Fund Transfers,Cancer Prevention & Research Institute of Texas,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$182,493 "
2024,Operating Fund Transfers,Cancer Prevention & Research Institute of Texas,5136 - Gr Acct - Cancer Prevention And Research,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,636,419 "
2024,Operating Fund Transfers,Cancer Prevention & Research Institute of Texas,5168 - Gr Acct-Cancer Prevention Research I&S,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$6,485,312 "
2024,Operating Fund Transfers,Cancer Prevention & Research Institute of Texas,7639 - Tpfa Cprit Project Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$208,154,621 "
2024,Operating Fund Transfers,Commission on Jail Standards,5172 - Gr Acct-Prisoner Safety,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$626,292 "
2024,Operating Fund Transfers,Commission on State Emergency Communications,5007 - Gr Acct Comm On State Emergency Comm,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$25,000,000 "
2024,Operating Fund Transfers,Commission on State Emergency Communications,5050 - Gr Acct-911 Service Fees,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$30,000,000 "
2024,Operating Fund Transfers,Comptroller-State Energy Conservation Office,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$57,659,200 "
2024,Operating Fund Transfers,Comptroller-State Energy Conservation Office,5005 - Gr Acct - Oil Overcharge,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$70,946,446 "
2024,Operating Fund Transfers,Comptroller-State Fiscal,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,170,952,702 "
2024,Operating Fund Transfers,Comptroller-State Fiscal,5040 - Gr Acct-Tobacco Settlement,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$690,409,014 "
2024,Operating Fund Transfers,Comptroller-State Fiscal,5189 - Gr Acct-Opioid Abatement,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$128,436,318 "
2024,Operating Fund Transfers,Department of Agriculture,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$5,558,732 "
2024,Operating Fund Transfers,Department of Agriculture,0183 - Tx Economic Development Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$21,578,928 "
2024,Operating Fund Transfers,Department of Agriculture,0186 - Pesticide Disposal Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$460,309 "
2024,Operating Fund Transfers,Department of Agriculture,0325 - Coronavirus Relief Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$6,328,967 "
2024,Operating Fund Transfers,Department of Agriculture,0683 - Tex Agricultural Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$16,626,369 "
2024,Operating Fund Transfers,Department of Agriculture,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$105,690 "
2024,Operating Fund Transfers,Department of Agriculture,0974 - Produce Recovery Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,090,605 "
2024,Operating Fund Transfers,Department of Agriculture,5047 - Gr Acct-Perm Fd Rural Health Fac Cap Imp,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$5,045,405 "
2024,Operating Fund Transfers,Department of Agriculture,5091 - Gr Acct-Orca Federal,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$8,029,678 "
2024,Operating Fund Transfers,Department of Agriculture,5178 - Gr Acct - State Hemp Program,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$346,855 "
2024,Operating Fund Transfers,Department of Family and Protective Services,5085 - Gr Acct-Child Abuse Neg/Prev Trust,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,218,449 "
2024,Operating Fund Transfers,Department of State Health Services,0019 - Gr Acct-Vital Statistics,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,118,306 "
2024,Operating Fund Transfers,Department of State Health Services,0129 - Gr Acct-Hospital Licensing,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$49,752 "
2024,Operating Fund Transfers,Department of State Health Services,0273 - Gr Acct-Fed Health & Health Lab Funding,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$995,150 "
2024,Operating Fund Transfers,Department of State Health Services,0325 - Coronavirus Relief Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$87,440 "
2024,Operating Fund Transfers,Department of State Health Services,0341 - Gr Acct-Food & Drug Retail Fees,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$14,331,354 "
2024,Operating Fund Transfers,Department of State Health Services,0512 - Gr Acct-Bureau Of Emergcy Mgt,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,908,312 "
2024,Operating Fund Transfers,Department of State Health Services,0524 - Gr Acct-Public Health Svcs Fee,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$547,837 "
2024,Operating Fund Transfers,Department of State Health Services,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$148,521 "
2024,Operating Fund Transfers,Department of State Health Services,5017 - Gr Acct-Asbestos Removal Licensure,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$26,158,910 "
2024,Operating Fund Transfers,Department of State Health Services,5020 - Gr Acct-Workplace Chemicals List,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$26,256 "
2024,Operating Fund Transfers,Department of State Health Services,5021 - Gr Acct-Cert Of Mammography Systems,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,997,288 "
2024,Operating Fund Transfers,Department of State Health Services,5022 - Gr Acct - Oysters Sales,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$916 
2024,Operating Fund Transfers,Department of State Health Services,5024 - Gr Acct-Food & Drug Registration,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$33,703,663 "
2024,Operating Fund Transfers,Department of State Health Services,5048 - Gr Acct-Perm Hosp Cptl Imp/Ctr Infec Dis,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$61,934 "
2024,Operating Fund Transfers,Department of State Health Services,5096 - Gr Acct - Perpetual Care,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$7,563,033 "
2024,Operating Fund Transfers,Department of State Health Services,"5108 - Gr Acct - Ems, Trauma Fac, Trauma Sys",7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$20,241,811 "
2024,Operating Fund Transfers,Department of State Health Services,5125 - Gr Acct - Childhood Immunization,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$156,593 "
2024,Operating Fund Transfers,Department of State Health Services,7639 - Tpfa Cprit Project Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$402,260 "
2024,Operating Fund Transfers,Employees Retirement System of Texas,0929 - Social Security Admin Tr Acct,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$11,000 "
2024,Operating Fund Transfers,Employees Retirement System of Texas,"0945 - Def Compensation Trust Fd, Ers",7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$901,363 "
2024,Operating Fund Transfers,General Land Office,0374 - Vlb-Veterans Financial Asst Prog Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"($76,845)"
2024,Operating Fund Transfers,General Land Office,0522 - Veterans Land Program Admin Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,167,903 "
2024,Operating Fund Transfers,General Land Office,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$11,555,121 "
2024,Operating Fund Transfers,General Land Office,5176 - Gr Acct - Coastal Erosion Response,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$66,597,846 "
2024,Operating Fund Transfers,Governor-Fiscal,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$15,434,593 "
2024,Operating Fund Transfers,Governor-Fiscal,0325 - Coronavirus Relief Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$146,255,470 "
2024,Operating Fund Transfers,Governor-Fiscal,0421 - Gr Acct-Crim Justice Planning,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$51,513,061 "
2024,Operating Fund Transfers,Governor-Fiscal,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$126,912,694 "
2024,Operating Fund Transfers,Governor-Fiscal,0802 - License Plate Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$75,829 "
2024,Operating Fund Transfers,Governor-Fiscal,0806 - Spaceport Trust Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,279,105 "
2024,Operating Fund Transfers,Governor-Fiscal,0830 - Events Trust Fd For Certain Muni/Countys,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$27,347,908 "
2024,Operating Fund Transfers,Governor-Fiscal,0869 - Major Events Reimbursement Program,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$46,742,150 "
2024,Operating Fund Transfers,Governor-Fiscal,5003 - Gr Acct-Hotel Occ Tax For Economic Devel,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,856,978 "
2024,Operating Fund Transfers,Governor-Fiscal,5010 - Gr Acct - Sexual Assault Program,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,212,351 "
2024,Operating Fund Transfers,Governor-Fiscal,5012 - Gr Acct - Crime Stoppers Assistance,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$946,650 "
2024,Operating Fund Transfers,Governor-Fiscal,5106 - Gr Acct - Economic Dev Bank,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$32,229,820 "
2024,Operating Fund Transfers,Governor-Fiscal,5107 - Gr Acct - Texas Enterprise,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$334,431,076 "
2024,Operating Fund Transfers,Governor-Fiscal,5114 - Gr Acct-Tx Military Value Revolving Loan,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$77,966 "
2024,Operating Fund Transfers,Governor-Fiscal,5153 - Gr Acct-Emergency Radio Infrastructure,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$8,301,697 "
2024,Operating Fund Transfers,Governor-Fiscal,5161 - Gr-Acct Governor'S Univ Research Initive,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$66,129,604 "
2024,Operating Fund Transfers,Governor-Fiscal,5164 - Gr Acct-Youth Diversion,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$11,359,555 "
2024,Operating Fund Transfers,Governor-Fiscal,5170 - Gr Acct-Evidence Testing,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$4,245,852 "
2024,Operating Fund Transfers,Governor-Fiscal,5184 - Gr Account - Specialty Court,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$29,995,612 "
2024,Operating Fund Transfers,Health and Human Services Commission,0107 - Gr Acct-Comprehensive Rehabilitation,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$2 
2024,Operating Fund Transfers,Health and Human Services Commission,0129 - Gr Acct-Hospital Licensing,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$20,659,853 "
2024,Operating Fund Transfers,Health and Human Services Commission,0373 - Freestanding Emerg Med Care Fac Lic Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$306,998 "
2024,Operating Fund Transfers,Health and Human Services Commission,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$38,631,148 "
2024,Operating Fund Transfers,Health and Human Services Commission,0857 - Assisted Living Facility Trust Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$520,838 "
2024,Operating Fund Transfers,Health and Human Services Commission,0992 - Nursing/Convales Home Trst Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$10,416,764 "
2024,Operating Fund Transfers,Health and Human Services Commission,5018 - Gr Acct - Home Health Services,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$905,017 "
2024,Operating Fund Transfers,Health and Human Services Commission,7802 - Tpfa Rv Com Pap Srs 2019a Hhsc Def Maint,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$57,008,694 "
2024,Operating Fund Transfers,Lamar State College-Orange,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$105,599 "
2024,Operating Fund Transfers,Parks and Wildlife Department,0001 - General Revenue Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$15,653 "
2024,Operating Fund Transfers,Parks and Wildlife Department,"0009 - Gr Account-Game, Fish, Water Safety",7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,663,148 "
2024,Operating Fund Transfers,Parks and Wildlife Department,0064 - Gr Acct-State Parks,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$2,443,899 "
2024,Operating Fund Transfers,Parks and Wildlife Department,0467 - Gr Acct-Tx Recreation & Parks,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$21,001,098 "
2024,Operating Fund Transfers,Parks and Wildlife Department,0506 - Gr Acct-Non-Game/Endanger Spec,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,$37 
2024,Operating Fund Transfers,Parks and Wildlife Department,0599 - Economic Stabilization Fund,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$7,199 "
2024,Operating Fund Transfers,Parks and Wildlife Department,0679 - Gr Acct-Artificial Reef,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$9,144,452 "
2024,Operating Fund Transfers,Parks and Wildlife Department,0885 - State Parks Endowment Trust Account,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$721,977 "
2024,Operating Fund Transfers,Parks and Wildlife Department,5004 - Gr Acct-Pks/ Wildlife Conserv Atn/Capt'L,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$29,686,176 "
2024,Operating Fund Transfers,Parks and Wildlife Department,5150 - Gr Acct-Large Count & Munic Rec & Parks,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$1,803,057 "
2024,Operating Fund Transfers,Parks and Wildlife Department,7647 - Tpfa Go Coml Papr Ser2008 Tpwd Prj 1b Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$3,566 "
2024,Operating Fund Transfers,Parks and Wildlife Department,7654 - Tpfa Go Cml Papr Ser2008 Tpwd Proj 1c Fd,7986 - Unexpended Cash Balance Forward – Operating Transfers Out,"$255,241 "
